loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,0,0.000,0.000,0,0.000
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,1,12103.759,0.000,1,12103.759
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,1,12019.545,0.000,1,12019.545
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,1,12030.893,0.000,1,12030.893
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,4,538.383,0.143,0,2153.531
'',00:01:10,0,15,315.134,0.515,2,4727.004
'',00:01:15,0,5,967.483,0.469,0,4837.416
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:22,0,7,217.214,0.301,2,760.249
